date, state, city, place_type, confirmed, deaths, order_for_place, is_last, estimated_population_2019, estimated_population, city_ibge_code, confirmed_per_100k_inhabitants, death_rate
2021-04-12, RS, Almirante Tamandaré do Sul, city, 162, 1, 235, True, 1964, 1949, 4300471, 8311.95485
2021-04-12, GO, Aloândia, city, 186, 6, 361, True, 1995, 1986, 5200506, 9365.55891
2021-03-31, MG, Alpercata, city, 346, 12, 337, True, 7424, 7436, 3101805, 4653.03927
2021-04-12, RS, Alpestre, city, 260, 6, 315, True, 6258, 6067, 4300505, 4285.47882
2021-03-31, MG, Alpinópolis, city, 644, 11, 308, True, 19853, 19958, 3101904, 3226.77623
2021-04-12, MT, Alta Floresta, city, 6426, 83, 269, True, 51782, 51959, 5100250, 12367.44356
2021-04-12, RO, Alta Floresta D'Oeste, city, 3101, 47, 317, True, 22945, 22728, 1100015, 13643.96339
2021-04-12, SP, Altair, city, 122, 7, 317, True, 4160, 4186, 3500907, 2914.47683
2021-04-12, PA, Altamira, city, 11416, 233, 368, True, 114594, 115969, 1500602, 9844.01004
2021-04-12, MA, Altamira do Maranhão, city, 279, 8, 366, True, 8128, 8189, 2100402, 3407.00940
2021-04-13, PR, Altamira do Paraná, city, 99, 3, 319, True, 1942, 1682, 4100459, 5885.85018
2021-04-12, CE, Altaneira, city, 313, 10, 305, True, 7586, 7650, 2300606, 4091.50327
2021-03-31, MG, Alterosa, city, 490, 24, 316, True, 14466, 14517, 3102001, 3375.35303
2021-04-12, PE, Altinho, city, 831, 16, 347, True, 22972, 22984, 2600807, 3615.55865
2021-04-12, SP, Altinópolis, city, 624, 20, 320, True, 16184, 16203, 3501004, 3851.13868
2021-04-12, RS, Alto Alegre, city, 122, 0, 217, True, 1638, 1613, 4300554, 7563.54619
2021-04-12, SP, Alto Alegre, city, 197, 8, 324, True, 4099, 4088, 3501103, 4818.98239
2021-04-11, RR, Alto Alegre, city, 1170, 25, 365, True, 15510, 15380, 1400050, 7607.28218
2021-04-12, MA, Alto Alegre do Maranhão, city, 757, 22, 350, True, 27053, 27858, 2100436, 2717.35229
2021-04-12, MA, Alto Alegre do Pindaré, city, 1717, 34, 354, True, 31919, 31943, 2100477, 5375.19957
2021-04-12, RO, Alto Alegre dos Parecis, city, 964, 20, 315, True, 13241, 13255, 1100379, 7272.72727
2021-04-12, MT, Alto Araguaia, city, 951, 19, 227, True, 19044, 19385, 5100300, 4905.85504
2021-04-12, SC, Alto Bela Vista, city, 109, 2, 342, True, 1937, 1926, 4200754, 5659.39772
2021-04-12, MT, Alto Boa Vista, city, 466, 9, 224, True, 6822, 6936, 5100359, 6718.56978
2021-03-31, MG, Alto Caparaó, city, 299, 7, 284, True, 5847, 5894, 3102050, 5072.95555
2021-04-12, RS, Alto Feliz, city, 160, 0, 270, True, 3028, 3036, 4300570, 5270.09223
2021-04-12, MT, Alto Garças, city, 515, 21, 226, True, 12030, 12151, 5100409, 4238.33429
2021-04-12, GO, Alto Horizonte, city, 590, 6, 285, True, 6414, 6605, 5200555, 8932.62680
2021-03-31, MG, Alto Jequitibá, city, 465, 9, 312, True, 8317, 8301, 3153509, 5601.73473
2021-04-12, PI, Alto Longá, city, 494, 12, 336, True, 14304, 14339, 2200301, 3445.14959
2021-04-12, MT, Alto Paraguai, city, 587, 17, 229, True, 11356, 11473, 5100508, 5116.36015
2021-04-13, PR, Alto Paraná, city, 640, 14, 360, True, 14770, 14859, 4100608, 4307.15391
2021-04-13, PR, Alto Paraíso, city, 152, 2, 327, True, 2741, 2685, 4128625, 5661.08007
2021-04-12, RO, Alto Paraíso, city, 1490, 33, 330, True, 21428, 21847, 1100403, 6820.15837
2021-04-12, GO, Alto Paraíso de Goiás, city, 497, 5, 335, True, 7624, 7688, 5200605, 6464.62019
2021-04-12, MA, Alto Parnaíba, city, 657, 5, 334, True, 11190, 11212, 2100501, 5859.79308
2021-04-13, PR, Alto Piquiri, city, 455, 11, 301, True, 9836, 9778, 4100707, 4653.30333
2021-03-31, MG, Alto Rio Doce, city, 245, 20, 308, True, 11000, 10859, 3102100, 2256.19302
2021-04-12, ES, Alto Rio Novo, city, 630, 20, 360, True, 7836, 7874, 3200359, 8001.01600
2021-04-12, CE, Alto Santo, city, 752, 17, 342, True, 17146, 17196, 2300705, 4373.11003
2021-04-12, MT, Alto Taquari, city, 1225, 21, 192, True, 10847, 11133, 5100607, 11003.32345
2021-03-16, RN, Alto do Rodrigues, city, 991, 21, 226, True, 14529, 14728, 2400703, 6728.68007
2021-04-12, PI, Altos, city, 3487, 63, 363, True, 40524, 40605, 2200400, 8587.61236
2021-04-13, PR, Altônia, city, 818, 14, 301, True, 22056, 22176, 4100509, 3688.67244
2021-04-12, SP, Alumínio, city, 1011, 31, 321, True, 18628, 18767, 3501152, 5387.11568
2021-03-31, MG, Alvarenga, city, 335, 3, 297, True, 3907, 3844, 3102209, 8714.88033
2021-04-11, AM, Alvarães, city, 2663, 38, 342, True, 16041, 16220, 1300029, 16418.00247
2021-04-12, SP, Alvinlândia, city, 107, 1, 300, True, 3222, 3237, 3501509, 3305.52981
2021-03-31, MG, Alvinópolis, city, 412, 6, 279, True, 15203, 15169, 3102308, 2716.06566
2021-04-11, TO, Alvorada, city, 966, 16, 340, True, 8412, 8396, 1700707, 11505.47880
2021-04-12, RS, Alvorada, city, 15539, 581, 362, True, 210305, 211352, 4300604, 7352.18971
2021-04-12, RO, Alvorada D'Oeste, city, 757, 19, 313, True, 14411, 14106, 1100346, 5366.51070
2021-03-31, MG, Alvorada de Minas, city, 192, 1, 273, True, 3606, 3605, 3102407, 5325.93620
2021-04-12, PI, Alvorada do Gurguéia, city, 233, 6, 354, True, 5419, 5445, 2200459, 4279.15519
2021-04-12, GO, Alvorada do Norte, city, 560, 2, 297, True, 8660, 8705, 5200803, 6433.08443
2021-04-13, PR, Alvorada do Sul, city, 622, 14, 346, True, 11406, 11503, 4100806, 5407.28506
2021-03-31, MG, Além Paraíba, city, 2213, 97, 321, True, 35362, 35401, 3101508, 6251.23584
2021-04-11, RR, Amajari, city, 822, 18, 338, True, 12796, 13185, 1400027, 6234.35722
2021-03-30, MS, Amambai, city, 1922, 37, 315, True, 39396, 39826, 5000609, 4825.99307
2021-04-13, PR, Amaporã, city, 194, 0, 359, True, 6257, 6332, 4100905, 3063.80291
2021-04-11, AP, Amapá, city, 1207, 10, 339, True, 9109, 9187, 1600105, 13138.12997
2021-04-12, MA, Amapá do Maranhão, city, 78, 1, 343, True, 6962, 7005, 2100550, 1113.49036
2021-04-12, PE, Amaraji, city, 415, 27, 350, True, 22829, 22870, 2600906, 1814.60429
2021-04-12, RS, Amaral Ferrador, city, 190, 4, 212, True, 7031, 7085, 4300638, 2681.72195
2021-04-12, GO, Amaralina, city, 46, 0, 323, True, 3812, 3845, 5200829, 1196.35891
2021-04-12, PI, Amarante, city, 1176, 27, 346, True, 17598, 17604, 2200509, 6680.29993
2021-04-12, MA, Amarante do Maranhão, city, 1342, 47, 350, True, 41435, 41729, 2100600, 3215.98888
2021-04-12, BA, Amargosa, city, 2146, 43, 331, True, 37241, 37441, 2901007, 5731.68452
2021-04-11, AM, Amaturá, city, 2164, 17, 352, True, 11536, 11736, 1300060, 18438.99114
2021-04-12, SP, Americana, city, 14175, 396, 363, True, 239597, 242018, 3501608, 5857.00237
2021-04-12, GO, Americano do Brasil, city, 343, 14, 296, True, 6111, 6164, 5200852, 5564.56846
2021-04-12, RS, Ametista do Sul, city, 492, 11, 312, True, 7409, 7403, 4300646, 6645.95434
2021-04-12, CE, Amontada, city, 1688, 30, 359, True, 43452, 43829, 2300754, 3851.33131
2021-04-12, GO, Amorinópolis, city, 143, 1, 323, True, 3126, 3069, 5200902, 4659.49821
2021-04-12, PB, Amparo, city, 147, 4, 306, True, 2238, 2251, 2500734, 6530.43092
2021-04-12, SP, Amparo, city, 3569, 106, 352, True, 72195, 72677, 3501905, 4910.76957
2021-04-08, SE, Amparo de São Francisco, city, 121, 3, 311, True, 2374, 2380, 2800100, 5084.03361
